1000,Invitation to Linguistics
1001,Exploring Grammar: Mandarin
1002,Exploring Grammar: Cantonese
1003,Exploring Grammar: English
2003,Phonetics I
2004,Phonology I
2005,Syntax I
2006,Semantics
2007,Linguistic Argumentation I
2008,Linguistic Argumentation II
2301,Language and Society
3101,Morphology
3102,Phonetics II
3103,Phonology II
3104,Syntax II
3107,Comparative Grammar
3108,Language Survey in the Field
3201,First Language Acquisition
3202,Psycholinguistics
3203,Language and Mind
3204,Second Language Acquisition
3206,Bilingualism
3207,Bilingual Acquisition
3208,Language Disorders
3401,Linguistics and Information Technology
3403,Quantitative Methods for Linguistics
3405,Research Practicum I
3406,Research Practicum II
4000,Research Project II
4001,Research Project I
4201,Neurolinguistics
4202,Special Topics in Language and Mind
4401,Special Topics in Linguistics
4402,Special Topics in Applied Lingusitics
5101,Foundations I: Phonetics and Phonology
5102,Foundations II: Syntax and Semantics
5103,Foundations in Language Acquisition
5104,Foundations in Sign Language Research
5201,Topics in Second Language Acquisition
5202,Topics in Bilingualism
5301,Linguistics and Language Teaching
5302,Approaches to English Grammar
5403,Topics in Language Acquisition of Deaf Children
5404,Sign Linguistics
5501,Topics in Chinese Phonetics and Phonology
5502,Topics in Chinese Syntax and Semantics
5503,Topics in Chinese Language Acquisition
5602,Special Topics in Linguistics
5604,Topics in Sociolinguistics
5606,Special Topics in Applied Linguistics
5607,Topics in Psycholinguistics
5608,Language Disorders
5701,Linguistics Research
5702,Research Project
5802,Research Practicum
6902,Phonological Theory
6903,Syntactic Theory
6904,Topics in Phonetics
6905,Topics in Semantics
6920,Topics in Language Acquisition
6940,Linguistics Research Seminars
6941,Proseminars in Linguistics I
6942,Proseminars in Linguistics II
6951,Topics in Bilingualism & Bilingual Acquisition
6952,Topics in Sign Linguistics
6953,Topics in Neurolinguistics & Psycholinguistics
6960,Independent Study
6970,Special Topics in Linguistics
6971,Special Topics in Experimental Methods
6980,Research Methodology
6981,Technologies in Linguistic Research I
6982,Topics in Statistics
6983,Technologies in Linguistic Research II
6984,Quantitative Methods in Language Research
8003,Thesis Research
8006,Thesis Research
8012,Thesis Research
