2120,Cell Biology
2210,Ecology
2213,Ecology Laboratory
2313,Genetics Laboratory
2410,General Genetics
2420,Population Genetics
3012,Biodiversity Laboratory I
3022,Biodiversity Laboratory II
3310,Human Biology
3410,General Microbiology
3510,Palaeobiology
3530,Plant Physiology
3560,Biology of Fungi and Non-Vascular Plants
3570,Biology of Vascular Plants
3610,Invertebrate Form and Function
3620,Vertebrate Life
3630,Animal Physiology
3710,Marine Biology
4010,Evolutionary Biology
4012,Field and Environmental Biology
4120,Developmental Biology
4230,Global Change Biology
4240,Environmental Impact Assessment
4242,Environmental Impact Assessment Laboratory
4260,Conservation Biology
4310,Human Genetics
4420,Marine Microbial Ecology
4510,Hong Kong Flora and Vegetation
4610,Foundation for Secondary School Biology Teaching
4710,Fish Biology and Mariculture
4901,Senior Experimental Project I
4902,Senior Experimental Project II
4903,Senior Experimental Project III
4906,Internship
4907,Field Study
5101,Seminar
5201,Seminar
5301,Seminar
7101,Seminar
7201,Seminar
7301,Seminar
7401,Seminar
7501,Seminar
7601,Seminar
7701,Seminar
8003,Thesis Research
8006,Thesis Research
8012,Thesis Research
