1300,Introduction to Learning Sciences
2100,Learning Design in New and Emerging Educational Contexts
2110,Educational Analytics
3100,Design Thinking as Scientific Inquiry
3110,Digital Citizenship Education
3120,Sustainability of Educational technology
3200,Leading Innovations in Organizations in the Era of Globalization
3500,Internship
3510,Educational Design Research (Research Method)
4200,Educational Innovation and Society: A Comparative Perspective
4210,"Education, Technology and Human Development"
4300,Instructional Design for Students with SEN in Technology-Supported Learning Environments
4500,Project in Learning Design and Technology
