1001,Essential Physics
1002,General Physics
1003,General Physics for Engineers
1004,Exploring the Physical World with STEM
1110,Engineering Physics: Mechanics and Thermodynamics
1111,"Introduction to Mechanics, Fluids, and Waves (University Physics I)"
1113,"Mechanics, Fluids and Waves (University Physics I)"
1122,University Physics II – Introduction to Optics and Modern Physics
1712,Physics Laboratory I
2041,University Physics III – Introduction to Heat and Electromagnetism
2051,Quantitative Methods for Basic Physics
2061,Basic Computational Physics
2401,Introduction to Astronomy and Astrophysics
2510,Student Centred Learning I
2520,Student Centred Learning II
2610,Short Project I
2711,Physics Laboratory II
2722,Physics Laboratory III
3011,Classical Mechanics I
3021,Quantum Mechanics I
3022,Applied Quantum Mechanics
3023,Introduction to Quantum Information Physics
3031,Thermodynamics and Statistical Physics
3041,Electromagnetic Theory I
3051,Methods in Theoretical Physics I
3061,Introduction to Computer Simulation of Physical Systems
3403,Introduction to Soft and Living Matter Physics
3410,Practical Electronics
3420,Topics in Contemporary Physics
3610,Short Project II
3630,Other Physics Learning Experience I
3710,Short Experimental Project I
3730,Basic Instrumentation
3810,Short Theoretical Project I
4011,Classical Mechanics II
4021,Quantum Mechanics II
4031,Statistical Mechanics
4041,Electromagnetic Theory II
4050,Solid State Physics
4051,Methods in Theoretical Physics II
4061,Computational Physics
4420,Physics in Meteorology
4430,Astrophysics
4440,Topics in Nanoscience and Technology
4450,Optical Physics
4460,Relativity
4470,Nuclear and Particle Physics
4480,Special Topics I
4490,Special Topics II
4491,Special Topics III
4492,Special Topics IV
4610,Senior Project I
4620,Senior Project II
4630,Other Physics Learning Experience
4710,Short Experimental Project II
4711,Short Experimental Project III
4712,Short Experimental Project IV
4801,Seminar I
4802,Seminar II
4811,Short Theoretical Project II
4812,Short Theoretical Project III
5061,From Computational Physics to Artificial Intelligence
5110,Fundamentals of Classical Mechanics and Special Relativity
5120,Fundamentals of Modern Quantum Mechanics
5130,Principles of Thermal and Statistical Physics
5140,Classical Electromagnetic Theory
5320,Photonics: Materials and Devices
5330,Instrumentation I
5350,Techniques in Materials Characterization
5410,Advanced Quantum Mechanics
5420,Classical Electrodynamics
5430,Solid State Theory
5450,Introduction to Soft Matter Physics
5460,Instrumentation II
5510,Topics in Theoretical Physics (Advanced Statistical Mechanics)
5520,Topics in Theoretical Physics (Introduction to Many-body Theory)
5530,Topics in Theoretical Physics (Introduction to Particle Physics)
5540,Topics in Theoretical Physics (Advanced Computational Physics)
5550,Topics in Theoretical Physics (Quantum Optics)
5560,Topics in the Frontiers of Physics
5561,Topics in the Frontiers of Physics (General Relativity)
5562,Topics in Theoretical Physics (Astrophysics)
5580,Physics of Quantum Information and Quantum Computation
5590,Modern Atomic Physics
5610,Introduction to Biophysics
5620,Topics in Experimental Physics (Thin Film Physics and Technology)
5660,Semiconductor Physics and Devices
5710,Guided Study
5720,Guided Study
5730,Guided Study
5790,Guided Study
5990,Project III
5991,MSc Dissertation
7210,Guided Study
8003,Thesis Research
8006,Thesis Research
8012,Thesis Research
