1001,Design Thinking in Social Innovation
1002,Managing Creativity and Group Dynamics in Innovation Teams
1003,Introduction to Art Tech Design and Interactivity
4001,ASK Project I
4002,ASK Project II
4010,ASK Internship I
4020,ASK Internship II
7001,Independent Studies I
7002,Creative Project I
7003,Thesis in Applied Social Science I
7004,Independent Studies II
7005,Creative Project II
7006,Thesis in Applied Social Science II
7010,Seminar (I): Computational Social Science
7020,Seminar (II): Computational Social Science
