"This course invites students without prior knowledge of Thai to explore the basic features of the Thai language. Supported by audiovisual aids, students will receive intensive practice in spoken and written Thai through interactive class work, homework and online exercises. They will become familiar with the basic concepts of Thai grammar and learn how to interact in some simple everyday situations."
"Building on the knowledge acquired in THAI1001, this course aims to further develop students' ability to communicate in Thai in various everyday situations. It also seeks to give students a taste of Thai culture and invites them to explore cultural differences. Through intensive practice students will develop more confidence in interacting in Thai while further expanding and solidifying their understanding of the basic grammar and pronunciation patterns."
"(Please read the study scheme note.) This is a summer intensive Thai course for beginners, covering the full syllabus of THAI1000 and 2000."
