6062,Application of Linguistics in the Teaching of Chinese
6063,Theories of Chinese Literature in the Teaching of Chinese
6101,Chinese Culture and the Teaching of Chinese
6102,Chinese Language Curriculum: Theories and Practices
6103,Theories of Listening and Reading in Chinese Language Teaching
6104,Theories of Elocution and Writing in Chinese Language Teaching
6171,Putonghua and Chinese Teaching
6172,Seminar in Chinese Language Teaching: Special Topics
6173,Project and Research Report: Chinese Language Education
6174,Current Issues of Chinese Language Education
6175,Teaching Thinking in Chinese Language Education
6176,Chinese Language Assessment
