5211,"Special Topic III in ‘Music, Industry, and Creativity’"
5212,"Special Topic IV in ‘Music, Industry, and Creativity’"
5301,Frontiers in Music Theory
5302,"Style, Interpretation and Performance Practice"
5303,Western Opera & Vocal Literature
5304,Western Instrumental Literature
5305,Practical Studies in Musicianship and Conducting (Choral)
5306,Practical Studies in Musicianship and Conducting (Orchestral)
5311,Special Topic V in 'Style and Interpretation'
5312,Special Topic VI in 'Style and Interpretation'
6000,Research Methods and Bibliography
6050,Independent Study I
6051,Independent Study II
6100,Advanced Composition I
6101,Advanced Composition II
6150,Computer-Aided Composition
6200,Ethnomusicology I: History and Theory
6201,Ethnomusicology II: Current issues
6250,Special Topic in Chinese Music I
6251,Special Topic in Chinese Music II
6252,Special Topic in Ethnomusicology I
6253,Special Topic in Ethnomusicology II
6350,Seminar in Musicology: Renaissance and Early Baroque Music
6351,Seminar in Musicology: Late Baroque to 1870
6352,Seminar in Musicology: From 1870 to the Present
6353,Topics in Sacred Music
6354,Topics in Western Opera
6355,Topics in the Orchestra and Its Music
6356,Musical Notation
6357,Topics in Musicology I
6358,Topics in Musicology II
6400,Seminar in the Theory and Analysis of Music I
6401,Advanced Tonal Music Theory and Analysis
6402,Advanced Post-tonal Music Theory and Analysis
6450,Seminar in the Theory and Analysis of Music II
6451,Special Topics: Theory and Analysis
8025,M.Phil./M.Mus. Thesis/Portfolio Preparation
8026,Ph.D./D.Mus. Dissertation/Portfolio Preparation
