1000,Introduction to Artificial Intelligence and Machine Learning
1110,Introduction to Computing using Python
2010,Introduction to Computer Music: From Analysis to Algorithmic Music
2601,"Technology, Society and Engineering Practice"
2602,Engineering Practicum
3010,Numerical Optimization
3020,Introduction to Computer Systems
3030,Numerical Optimization
3110,Music Information Retrieval
3120,Introduction to Natural Language Processing
3510,Human-computer Interaction
4010,Foundation of Applied Deep Learning
4998,Final Year Project I
4999,Final Year Project II
5020,Trustworthy Artificial Intelligence
5030,Generative Artificial Intelligence
