6050,Directed Research
6060,Management: Competencies and Current Perspectives
6070,Business Practicum
6080,Business Field Study - Mainland China
6081,Business Field Study - Asia
6082,Business Field Study - Europe
6083,Business Field Study - US
6090,Selected Topics in Business
6091,New Venture Business Project
6092,Applied Entrepreneurship: Remodeling & Fundraising in Asia
6100,Current Topics in Business
6101,Overseas Business Field Study
6110,Field Study in Hong Kong
6120,Academic and Professional Seminars
6130,Group Report
6150,Overseas Field Study in Financial Institutions
6200,Independent Project
